DATA THROUGH 2023,State,Station_ID,City,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
93134LOS ANGELES,CA,93134,LOS ANGELES,190604,202312,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
24257REDDING,CA,24257,REDDING,198609,202312,9,4,2,NA,0,0,0,0,0,NA,3,10,29
23232SACRAMENTO,CA,23232,SACRAMENTO,194112,202312,7,2,NA,NA,0,0,0,0,0,0,1,6,17
23188SAN DIEGO,CA,23188,SAN DIEGO,193907,202312,NA,0,0,0,0,0,0,0,0,0,0,0,0
23272SAN FRANCISCO,CA,23272,SAN FRANCISCO,192101,202312,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
23190SANTA BARBARA,CA,23190,SANTA BARBARA,194102,202312,2,1,NA,0,0,0,0,0,0,NA,NA,2,5
23273SANTA MARIA,CA,23273,SANTA MARIA,194801,202312,5,3,1,NA,NA,0,0,0,0,NA,1,5,15
23237STOCKTON,CA,23237,STOCKTON,194810,202312,8,3,1,NA,0,0,0,0,0,0,2,8,22
23061ALAMOSA,CO,23061,ALAMOSA,194801,202312,31,28,30,27,13,2,NA,NA,8,26,30,31,227
93037COLORADO SPRINGS,CO,93037,COLORADO SPRINGS,194804,202312,30,27,25,14,2,NA,0,0,1,9,24,29,161
03017DENVER,CO,03017,DENVER,199408,202312,29,26,23,14,3,NA,0,0,1,9,22,29,156
23066GRAND JUNCTION,CO,23066,GRAND JUNCTION,190001,202312,30,25,18,6,NA,0,0,0,NA,4,22,30,135
93058PUEBLO,CO,93058,PUEBLO,195407,202312,30,27,24,11,1,0,0,0,NA,10,26,30,160
94702BRIDGEPORT,CT,94702,BRIDGEPORT,194807,202312,25,23,17,3,NA,0,0,0,0,1,8,21,97
14740HARTFORD,CT,14740,HARTFORD,194901,202312,28,25,22,8,1,0,0,0,NA,5,16,26,131
13781WILMINGTON,DE,13781,WILMINGTON,193105,202312,24,22,15,3,NA,0,0,0,0,1,10,21,97
93738WASHINGTON DULLES,DC,93738,WASHINGTON DULLES,196112,202312,25,22,16,5,NA,0,0,0,NA,4,14,23,108
13743WASHINGTON NAT'L,DC,13743,WASHINGTON NAT'L,194107,202312,21,17,8,1,0,0,0,0,0,NA,5,15,67
12834DAYTONA BEACH,FL,12834,DAYTONA BEACH,193701,202312,2,1,NA,NA,0,0,0,0,0,0,NA,1,5
12835FORT MYERS,FL,12835,FORT MYERS,189201,202312,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
12816GAINESVILLE,FL,12816,GAINESVILLE,196006,202312,6,3,1,NA,0,0,0,0,0,NA,1,4,16
13889JACKSONVILLE,FL,13889,JACKSONVILLE,193804,202312,6,3,1,NA,0,0,0,0,0,0,1,4,15
12836KEY WEST,FL,12836,KEY WEST,194801,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
12839MIAMI,FL,12839,MIAMI,194801,202312,NA,0,NA,0,0,0,0,0,0,0,0,NA,0
12815ORLANDO,FL,12815,ORLANDO,195206,202312,1,NA,NA,0,0,0,0,0,0,0,NA,1,2
13899PENSACOLA,FL,13899,PENSACOLA,194807,202312,6,3,1,0,0,0,0,0,0,NA,1,4,13
93805TALLAHASSEE,FL,93805,TALLAHASSEE,194003,202312,9,6,2,NA,0,0,0,0,0,NA,3,8,28
12842TAMPA,FL,12842,TAMPA,193902,202312,1,NA,NA,0,0,0,0,0,0,0,NA,NA,2
12843VERO BEACH,FL,12843,VERO BEACH,194211,202312,1,NA,NA,0,0,0,0,0,0,0,0,NA,1
12844WEST PALM BEACH,FL,12844,WEST PALM BEACH,193807,202312,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0
13873ATHENS,GA,13873,ATHENS,194406,202312,15,11,5,NA,0,0,0,0,0,NA,5,13,50
13874ATLANTA,GA,13874,ATLANTA,193001,202312,14,9,4,NA,0,0,0,0,0,NA,4,11,42
03820AUGUSTA,GA,03820,AUGUSTA,194404,202312,15,11,5,1,0,0,0,0,0,1,7,13,51
93842COLUMBUS,GA,93842,COLUMBUS,194801,202312,12,8,3,NA,0,0,0,0,0,NA,4,10,37
03813MACON,GA,03813,MACON,194812,202312,13,9,4,NA,0,0,0,0,0,NA,5,11,42
03822SAVANNAH,GA,03822,SAVANNAH,194801,202312,9,5,2,NA,0,0,0,0,0,NA,2,7,26
21504HILO,HI,21504,HILO,194910,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
22521HONOLULU,HI,22521,HONOLULU,194006,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
22516KAHULUI,HI,22516,KAHULUI,195404,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
22536LIHUE,HI,22536,LIHUE,195002,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
24131BOISE,ID,24131,BOISE,194001,202312,26,21,16,7,1,NA,0,0,NA,5,17,25,119
24149LEWISTON,ID,24149,LEWISTON,194801,202312,20,16,11,3,NA,0,0,0,NA,3,12,20,86
24156POCATELLO,ID,24156,POCATELLO,193901,202312,29,25,25,15,4,NA,0,NA,3,14,24,29,167
94846CHICAGO,IL,94846,CHICAGO,195811,202312,28,25,20,7,1,0,0,0,NA,4,15,26,126
14923MOLINE,IL,14923,MOLINE,194306,202312,29,25,20,7,NA,0,0,0,NA,5,18,27,133
14842PEORIA,IL,14842,PEORIA,194305,202312,29,25,19,5,NA,0,0,0,NA,4,16,26,124
94822ROCKFORD,IL,94822,ROCKFORD,195101,202312,29,26,23,8,1,0,0,0,NA,6,19,28,141
93822SPRINGFIELD,IL,93822,SPRINGFIELD,190101,202312,27,23,16,4,NA,0,0,0,NA,3,14,24,111
93817EVANSVILLE,IN,93817,EVANSVILLE,194801,202312,24,20,13,2,NA,0,0,0,0,2,13,21,95
14827FORT WAYNE,IN,14827,FORT WAYNE,193908,202312,28,25,21,8,1,0,0,0,NA,4,16,25,129
93819INDIANAPOLIS,IN,93819,INDIANAPOLIS,194801,202312,27,23,17,5,NA,0,0,0,NA,3,14,24,113
14848SOUTH BEND,IN,14848,SOUTH BEND,189312,202312,28,25,22,9,1,0,0,0,NA,3,16,26,130
14933DES MOINES,IA,14933,DES MOINES,194507,202312,30,26,20,7,NA,0,0,0,NA,4,18,28,134
94908DUBUQUE,IA,94908,DUBUQUE,195102,202312,30,27,24,9,1,0,0,0,NA,7,21,29,147
14943SIOUX CITY,IA,14943,SIOUX CITY,194801,202312,31,27,23,9,1,0,0,0,1,8,23,30,153
94910WATERLOO,IA,94910,WATERLOO,195003,202312,31,27,24,11,1,0,0,0,1,9,22,29,154
13984CONCORDIA,KS,13984,CONCORDIA,188505,202312,29,24,18,4,NA,0,0,0,NA,3,17,27,122
13985DODGE CITY,KS,13985,DODGE CITY,194801,202312,29,24,18,6,NA,0,0,0,NA,3,17,28,126
23065GOODLAND,KS,23065,GOODLAND,189507,202312,30,27,24,12,2,NA,0,0,1,8,24,30,158
13996TOPEKA,KS,13996,TOPEKA,194608,202312,29,23,16,4,NA,0,0,0,NA,3,16,26,119
03928WICHITA,KS,03928,WICHITA,195312,202312,28,22,13,3,NA,0,0,0,NA,2,14,26,107
03889JACKSON,KY,03889,JACKSON,198101,202312,21,17,11,2,NA,0,0,0,0,1,9,17,78
93820LEXINGTON,KY,93820,LEXINGTON,187211,202312,23,20,14,3,NA,0,0,0,NA,2,11,20,93
93821LOUISVILLE,KY,93821,LOUISVILLE,194801,202312,23,18,11,2,NA,0,0,0,0,1,9,19,83
03816PADUCAH,KY,03816,PADUCAH,194909,202312,23,18,11,2,0,0,0,0,0,2,11,19,86
13970BATON ROUGE,LA,13970,BATON ROUGE,193001,202312,7,4,1,NA,0,0,0,0,0,NA,2,5,20
03937LAKE CHARLES,LA,03937,LAKE CHARLES,196111,202312,5,3,1,0,0,0,0,0,0,NA,1,4,13
12916NEW ORLEANS,LA,12916,NEW ORLEANS,194801,202312,4,2,NA,NA,0,0,0,0,0,0,1,3,10
13957SHREVEPORT,LA,13957,SHREVEPORT,193907,202312,12,7,2,NA,0,0,0,0,0,NA,3,9,32
14607CARIBOU,ME,14607,CARIBOU,193902,202312,31,28,29,21,5,NA,0,0,2,13,25,30,184
14764PORTLAND,ME,14764,PORTLAND,194012,202312,30,27,25,13,2,0,0,0,1,8,19,28,152
93721BALTIMORE,MD,93721,BALTIMORE,193907,202312,24,21,14,3,NA,0,0,0,0,1,10,21,93
14753BLUE HILL,MA,14753,BLUE HILL,199804,202312,27,25,21,5,NA,0,0,0,0,2,12,23,115
14739BOSTON,MA,14739,BOSTON,193601,202312,26,23,17,2,0,0,0,0,0,NA,7,21,96
94746WORCESTER,MA,94746,WORCESTER,194806,202312,29,26,24,9,NA,0,0,0,NA,4,16,27,135
94849ALPENA,MI,94849,ALPENA,191611,202312,30,28,28,20,7,1,0,NA,2,11,21,29,176
94847DETROIT,MI,94847,DETROIT,195901,202312,28,25,22,8,1,0,0,0,NA,3,15,25,128
14826FLINT,MI,14826,FLINT,194805,202312,29,26,24,11,2,0,0,0,NA,6,17,26,142
94860GRAND RAPIDS,MI,94860,GRAND RAPIDS,196312,202312,29,26,23,11,1,0,0,0,NA,5,17,27,139
94814HOUGHTON LAKE,MI,94814,HOUGHTON LAKE,196407,202312,30,28,27,17,5,NA,0,NA,2,10,21,29,170
14836LANSING,MI,14836,LANSING,194801,202312,29,26,24,12,2,NA,0,0,1,7,18,27,145
14840MUSKEGON,MI,14840,MUSKEGON,189606,202312,29,26,24,11,1,NA,0,0,NA,4,15,26,136
14847SAULT STE. MARIE,MI,14847,SAULT STE. MARIE,193101,202312,30,28,29,20,6,NA,0,NA,1,8,21,29,174
14913DULUTH,MN,14913,DULUTH,194801,202312,31,28,29,20,5,NA,0,NA,2,12,26,31,182
14918INTERNATIONAL FALLS,MN,14918,INTERNATIONAL FALLS,190607,202312,31,28,29,22,8,NA,NA,NA,4,16,28,31,198
14922MINNEAPOLIS-ST.PAUL,MN,14922,MINNEAPOLIS-ST.PAUL,193805,202312,31,27,25,10,1,0,0,0,NA,6,22,30,153
14925ROCHESTER,MN,14925,ROCHESTER,189303,202312,30,27,26,13,2,NA,0,NA,1,10,23,30,163
14926SAINT CLOUD,MN,14926,SAINT CLOUD,193911,202312,31,28,28,16,3,NA,0,0,2,12,26,30,176
03940JACKSON,MS,03940,JACKSON,196308,202312,14,10,3,NA,0,0,0,0,0,NA,5,12,44
13865MERIDIAN,MS,13865,MERIDIAN,194406,202312,15,10,5,NA,0,0,0,0,0,1,7,13,51
93862TUPELO,MS,93862,TUPELO,196212,202312,18,13,6,1,NA,0,0,0,NA,1,8,15,62
03945COLUMBIA,MO,03945,COLUMBIA,196911,202312,26,21,13,3,NA,0,0,0,NA,2,13,24,103
03947KANSAS CITY,MO,03947,KANSAS CITY,197210,202312,27,22,14,4,NA,0,0,0,NA,2,13,25,108
13994ST. LOUIS,MO,13994,ST. LOUIS,193804,202312,25,20,13,2,NA,0,0,0,NA,1,11,22,94
13995SPRINGFIELD,MO,13995,SPRINGFIELD,194008,202312,25,20,13,3,NA,0,0,0,NA,2,13,22,99
24033BILLINGS,MT,24033,BILLINGS,194801,202312,28,24,23,12,2,NA,0,0,1,8,21,27,146
94008GLASGOW,MT,94008,GLASGOW,194801,202312,31,28,28,16,3,NA,0,0,2,14,27,31,179
24143GREAT FALLS,MT,24143,GREAT FALLS,193704,202312,27,25,25,16,4,NA,0,NA,2,11,21,26,158
94012HAVRE,MT,94012,HAVRE,196102,202312,30,27,28,17,4,NA,0,0,3,17,26,30,182
24144HELENA,MT,24144,HELENA,193804,202312,29,26,27,17,4,NA,0,NA,3,15,26,29,177
24146KALISPELL,MT,24146,KALISPELL,189606,202312,29,26,27,17,5,NA,NA,NA,4,17,25,29,178
24153MISSOULA,MT,24153,MISSOULA,194801,202312,30,26,26,17,5,NA,NA,NA,3,16,26,30,179
14935GRAND ISLAND,NE,14935,GRAND ISLAND,193804,202312,30,27,23,8,1,0,0,0,NA,6,22,30,147
14939LINCOLN,NE,14939,LINCOLN,194801,202312,30,26,21,8,1,0,0,0,NA,7,21,30,144
14941NORFOLK,NE,14941,NORFOLK,194510,202312,31,27,23,10,1,0,0,0,1,8,23,30,153
24023NORTH PLATTE,NE,24023,NORTH PLATTE,194801,202312,31,28,27,14,3,NA,0,0,1,14,28,31,175
14942OMAHA,NE,14942,OMAHA,194801,202312,30,26,21,7,NA,0,0,0,NA,5,20,29,138
24028SCOTTSBLUFF,NE,24028,SCOTTSBLUFF,189301,202312,30,27,27,15,3,NA,0,NA,2,14,27,30,175
24032VALENTINE,NE,24032,VALENTINE,194801,202312,31,28,27,15,3,NA,0,0,1,13,27,31,174
24121ELKO,NV,24121,ELKO,188802,202312,30,27,27,20,10,2,NA,1,8,22,27,30,204
23154ELY,NV,23154,ELY,189301,202312,30,27,29,24,14,3,NA,NA,7,23,28,30,217
23169LAS VEGAS,NV,23169,LAS VEGAS,194810,202312,9,4,1,NA,0,0,0,0,0,NA,2,9,25
23185RENO,NV,23185,RENO,193703,202312,27,24,22,14,4,1,0,NA,2,13,23,28,159
24128WINNEMUCCA,NV,24128,WINNEMUCCA,187707,202312,28,24,25,17,6,1,NA,NA,5,18,25,28,178
14745CONCORD,NH,14745,CONCORD,193904,202312,30,27,27,16,4,NA,0,NA,2,12,21,29,169
14755MT. WASHINGTON,NH,14755,MT. WASHINGTON,194802,202312,31,28,31,28,19,6,1,2,11,22,28,31,238
93730ATLANTIC CITY,NJ,93730,ATLANTIC CITY,195807,202312,24,22,17,5,NA,0,0,0,NA,2,12,22,104
14734NEWARK,NJ,14734,NEWARK,189301,202312,24,22,14,2,0,0,0,0,0,1,7,20,91
23050ALBUQUERQUE,NM,23050,ALBUQUERQUE,193103,202312,27,21,13,3,NA,0,0,0,0,1,15,27,109
23051CLAYTON,NM,23051,CLAYTON,189602,202312,29,25,21,9,1,NA,0,0,NA,5,20,28,137
23009ROSWELL,NM,23009,ROSWELL,194901,202312,25,17,8,1,0,0,0,0,0,1,11,24,87
14735ALBANY,NY,14735,ALBANY,193806,202312,29,26,24,10,1,0,0,0,1,7,18,27,143
04725BINGHAMTON,NY,04725,BINGHAMTON,195106,202312,29,26,25,12,1,0,0,0,NA,5,18,27,144
14733BUFFALO,NY,14733,BUFFALO,193805,202312,28,26,24,10,NA,0,0,0,NA,2,14,25,129
04781ISLIP,NY,04781,ISLIP,196310,202312,25,23,17,4,NA,0,0,0,0,1,9,21,101
94728NEW YORK Central Park,NY,94728,NEW YORK Central Park,186901,202312,22,20,13,2,NA,0,0,0,0,NA,5,17,81
94789NEW YORK JFK AP,NY,94789,NEW YORK JFK AP,194808,202312,22,20,12,1,0,0,0,0,0,NA,4,16,76
14732NEW YORK Laguardia AP,NY,14732,NEW YORK Laguardia AP,193911,202312,21,19,11,1,0,0,0,0,0,NA,3,15,70
14768ROCHESTER,NY,14768,ROCHESTER,192601,202312,28,26,23,10,1,0,0,0,NA,3,15,25,132
14771SYRACUSE,NY,14771,SYRACUSE,193805,202312,28,26,24,11,1,0,0,0,NA,4,15,26,136
03812ASHEVILLE,NC,03812,ASHEVILLE,194601,202312,22,19,12,4,NA,0,0,0,NA,4,14,20,95
93729CAPE HATTERAS,NC,93729,CAPE HATTERAS,195703,202312,9,7,3,NA,0,0,0,0,0,NA,1,5,24
13881CHARLOTTE,NC,13881,CHARLOTTE,193907,202312,17,13,7,1,NA,0,0,0,0,1,7,15,62
13723GREENSBORO-WNSTN-SALM-HGHPT,NC,13723,GREENSBORO-WNSTN-SALM-HGHPT,192811,202312,21,17,10,2,NA,0,0,0,0,1,10,19,80
13722RALEIGH,NC,13722,RALEIGH,194406,202312,19,15,9,2,NA,0,0,0,0,1,9,17,71
13748WILMINGTON,NC,13748,WILMINGTON,194801,202312,13,9,4,NA,0,0,0,0,0,NA,3,10,40
24011BISMARCK,ND,24011,BISMARCK,194801,202312,31,28,29,18,4,NA,0,0,2,15,28,31,186
14914FARGO,ND,14914,FARGO,189106,202312,31,28,28,16,4,NA,0,NA,2,12,26,31,177
14916GRAND FORKS,ND,14916,GRAND FORKS,194104,202312,31,28,28,18,5,NA,NA,NA,2,15,28,31,186
94014WILLISTON,ND,94014,WILLISTON,189401,201909,31,28,29,17,5,NA,0,NA,3,15,28,31,186
14895AKRON,OH,14895,AKRON,194807,202312,27,24,21,9,1,NA,0,0,NA,3,15,25,125
93814CINCINNATI,OH,93814,CINCINNATI,194801,202312,25,21,16,4,NA,0,0,0,NA,3,13,22,103
14820CLEVELAND,OH,14820,CLEVELAND,193805,202312,27,24,21,8,1,NA,0,0,NA,2,13,23,118
14821COLUMBUS,OH,14821,COLUMBUS,194801,202312,26,23,18,6,NA,0,0,0,NA,3,13,23,112
93815DAYTON,OH,93815,DAYTON,194801,202312,27,23,18,6,NA,0,0,0,NA,3,14,24,114
14891MANSFIELD,OH,14891,MANSFIELD,194812,202312,27,24,21,9,1,0,0,0,0,4,15,25,126
94830TOLEDO,OH,94830,TOLEDO,195501,202312,28,25,22,9,1,NA,0,0,NA,5,16,25,132
14852YOUNGSTOWN,OH,14852,YOUNGSTOWN,193408,202312,27,25,22,10,1,NA,0,NA,NA,4,15,25,130
13967OKLAHOMA CITY,OK,13967,OKLAHOMA CITY,194801,202312,23,16,8,1,NA,0,0,0,0,1,8,19,76
13968TULSA,OK,13968,TULSA,193812,202312,22,16,8,1,0,0,0,0,0,1,8,19,75
94224ASTORIA,OR,94224,ASTORIA,195302,202312,8,7,5,2,NA,0,0,0,0,1,4,7,34
94185BURNS,OR,94185,BURNS,197306,202312,30,27,27,21,9,2,NA,1,7,22,27,29,203
24221EUGENE,OR,24221,EUGENE,193806,202312,13,10,7,2,NA,NA,0,0,NA,2,7,11,54
24225MEDFORD,OR,24225,MEDFORD,192801,202312,18,14,10,4,NA,NA,0,0,NA,3,11,16,77
24155PENDLETON,OR,24155,PENDLETON,192801,202312,21,17,11,4,NA,0,0,0,NA,4,13,20,90
24229PORTLAND,OR,24229,PORTLAND,193804,202312,11,8,4,1,NA,0,0,0,0,1,5,9,38
24232SALEM,OR,24232,SALEM,189301,202312,13,10,7,3,NA,NA,0,NA,NA,2,7,11,54
24235SEXTON SUMMIT,OR,24235,SEXTON SUMMIT,194801,202311,17,16,18,14,6,NA,0,0,NA,2,10,17,101
14737ALLENTOWN,PA,14737,ALLENTOWN,194801,202312,27,24,20,6,NA,0,0,0,NA,3,15,25,121
14860ERIE,PA,14860,ERIE,192601,202312,27,25,23,9,1,NA,0,0,0,1,10,23,118
14711MIDDLETOWN/HARRISBURG,PA,14711,MIDDLETOWN/HARRISBURG,194101,202312,26,23,16,3,NA,0,0,0,0,1,11,23,103
13739PHILADELPHIA,PA,13739,PHILADELPHIA,194007,202312,24,21,13,2,NA,0,0,0,0,1,7,20,88
94823PITTSBURGH,PA,94823,PITTSBURGH,194801,202312,26,23,19,7,1,0,0,0,NA,3,14,24,118
14777AVOCA,PA,14777,AVOCA,194901,202312,27,24,21,8,1,0,0,0,NA,4,15,24,124
14778WILLIAMSPORT,PA,14778,WILLIAMSPORT,194805,202312,28,25,21,7,1,0,0,0,NA,4,15,25,125
14765PROVIDENCE,RI,14765,PROVIDENCE,194801,202312,27,24,20,5,NA,0,0,0,NA,2,12,24,114
13782CHARLESTON,SC,13782,CHARLESTON,189301,202312,4,3,NA,0,0,0,0,0,0,0,NA,3,10
13883COLUMBIA,SC,13883,COLUMBIA,194801,202312,15,11,5,1,0,0,0,0,0,1,7,13,53
03870GREENVILLE-SPARTANBURG,SC,03870,GREENVILLE-SPARTANBURG,196211,202312,18,13,6,1,NA,0,0,0,0,1,6,14,60
14929ABERDEEN,SD,14929,ABERDEEN,189301,202312,31,28,28,16,3,NA,0,NA,2,14,27,30,179
14936HURON,SD,14936,HURON,188107,202312,31,28,27,13,2,NA,0,0,1,11,26,31,171
24090RAPID CITY,SD,24090,RAPID CITY,194805,202312,30,27,27,16,3,NA,0,0,1,12,25,30,172
14944SIOUX FALLS,SD,14944,SIOUX FALLS,193201,202312,31,28,26,13,2,0,0,0,1,10,25,30,164
13877BRISTOL-JHNSN CTY-KNGSPRT,TN,13877,BRISTOL-JHNSN CTY-KNGSPRT,193710,202312,22,18,13,4,NA,0,0,0,0,3,14,21,95
13882CHATTANOOGA,TN,13882,CHATTANOOGA,193804,202312,18,14,7,1,0,0,0,0,0,1,9,16,67
13891KNOXVILLE,TN,13891,KNOXVILLE,191001,202312,18,14,8,1,NA,0,0,0,0,1,9,16,67
13893MEMPHIS,TN,13893,MEMPHIS,194002,202312,17,12,5,NA,0,0,0,0,0,NA,5,13,52
13897NASHVILLE,TN,13897,NASHVILLE,194801,202312,20,15,9,1,0,0,0,0,0,1,9,17,72
03841OAK RIDGE,TN,03841,OAK RIDGE,194808,202312,21,17,11,2,NA,0,0,0,0,2,11,18,81
13962ABILENE,TX,13962,ABILENE,194801,202312,16,10,4,NA,0,0,0,0,0,NA,5,13,50
23047AMARILLO,TX,23047,AMARILLO,194701,202312,27,22,14,4,NA,0,0,0,NA,2,15,26,110
13958AUSTIN,TX,13958,AUSTIN,193806,202312,7,4,1,NA,0,0,0,0,0,NA,1,4,17
12919BROWNSVILLE,TX,12919,BROWNSVILLE,189812,202312,1,1,NA,0,0,0,0,0,0,0,NA,1,2
12924CORPUS CHRISTI,TX,12924,CORPUS CHRISTI,194801,202312,2,1,NA,0,0,0,0,0,0,NA,NA,1,6
13960DALLAS,TX,13960,DALLAS,193908,202312,12,7,2,NA,0,0,0,0,0,NA,2,8,30
22010DEL RIO,TX,22010,DEL RIO,195105,202312,5,3,1,0,0,0,0,0,0,NA,1,5,14
23044EL PASO,TX,23044,EL PASO,193804,202312,17,10,4,NA,NA,0,0,0,0,NA,6,16,53
12923GALVESTON,TX,12923,GALVESTON,194608,202312,2,1,NA,0,0,0,0,0,0,0,NA,NA,3
12960HOUSTON,TX,12960,HOUSTON,196906,202312,5,3,1,NA,0,0,0,0,0,NA,1,4,14
23042LUBBOCK,TX,23042,LUBBOCK,194701,202312,25,18,10,2,NA,0,0,0,0,1,11,23,89
23023MIDLAND-ODESSA,TX,23023,MIDLAND-ODESSA,193006,202312,19,12,5,1,NA,0,0,0,0,NA,7,17,61
12917PORT ARTHUR,TX,12917,PORT ARTHUR,194710,202312,5,2,1,NA,0,0,0,0,0,NA,1,3,12
23034SAN ANGELO,TX,23034,SAN ANGELO,190708,202312,16,10,4,1,0,0,0,0,0,NA,5,14,50
12921SAN ANTONIO,TX,12921,SAN ANTONIO,194609,202312,7,4,1,NA,0,0,0,0,0,NA,2,5,19
12912VICTORIA,TX,12912,VICTORIA,195303,202312,4,2,1,0,0,0,0,0,0,NA,1,3,10
13959WACO,TX,13959,WACO,194101,202312,12,7,2,NA,0,0,0,0,0,NA,3,9,33
13966WICHITA FALLS,TX,13966,WICHITA FALLS,190701,202312,19,12,6,1,0,0,0,0,0,NA,6,16,60
24127SALT LAKE CITY,UT,24127,SALT LAKE CITY,194801,202312,27,22,15,6,1,0,0,0,NA,4,18,27,121
14742BURLINGTON,VT,14742,BURLINGTON,194012,202312,29,27,26,14,2,0,0,0,1,8,18,27,152
13733LYNCHBURG,VA,13733,LYNCHBURG,194408,202312,23,19,12,3,NA,0,0,0,0,2,11,20,90
13737NORFOLK,VA,13737,NORFOLK,194601,202312,16,13,5,NA,0,0,0,0,0,NA,3,12,48
13740RICHMOND,VA,13740,RICHMOND,193903,202312,21,18,11,2,NA,0,0,0,0,1,9,19,81
13741ROANOKE,VA,13741,ROANOKE,194801,202312,22,18,11,2,NA,0,0,0,0,2,10,19,84
