DATA THROUGH 2023,State,Station_ID,City,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
23194WINSLOW,AZ,23194,WINSLOW,189810,202312,0,0,0,NA,3,19,25,19,8,NA,0,0,75
13964FORT SMITH,AR,13964,FORT SMITH,194510,202312,0,0,NA,NA,3,15,24,23,11,2,0,0,78
13963LITTLE ROCK,AR,13963,LITTLE ROCK,193804,202312,0,0,NA,NA,4,16,23,21,10,1,0,0,75
23155BAKERSFIELD,CA,23155,BAKERSFIELD,193710,202312,0,0,NA,2,9,19,29,27,18,5,NA,0   1,10
23157BISHOP,CA,23157,BISHOP,189502,202312,0,0,0,NA,5,18,28,26,14,1,0,0,92
23225BLUE CANYON,CA,23225,BLUE CANYON,194312,202312,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1
93193FRESNO,CA,93193,FRESNO,194801,202312,0,0,NA,2,9,19,29,28,18,4,NA,0   1,9
23129LONG BEACH,CA,23129,LONG BEACH,194901,202312,NA,NA,NA,1,1,1,3,5,6,3,1,NA,22
93134LOS ANGELES,CA,93134,LOS ANGELES,190604,202312,NA,NA,NA,1,1,1,3,4,5,3,1,NA,21
24257REDDING,CA,24257,REDDING,198609,202312,0,0,0,1,7,18,28,27,19,5,0,0   1,6
23232SACRAMENTO,CA,23232,SACRAMENTO,194112,202312,0,0,0,1,5,12,21,19,13,3,0,0,75
23188SAN DIEGO,CA,23188,SAN DIEGO,193907,202312,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,3
23272SAN FRANCISCO,CA,23272,SAN FRANCISCO,192101,202312,0,0,0,NA,NA,NA,NA,NA,1,NA,0,0,2
23190SANTA BARBARA,CA,23190,SANTA BARBARA,194101,202312,0,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,3
23273SANTA MARIA,CA,23273,SANTA MARIA,194801,202312,0,0,NA,NA,NA,NA,NA,NA,1,2,NA,NA,5
23237STOCKTON,CA,23237,STOCKTON,194810,202312,0,0,0,1,6,14,24,22,14,3,0,0,84
23061ALAMOSA,CO,23061,ALAMOSA,194801,202312,0,0,0,0,NA,1,2,NA,0,0,0,0,3
93037COLORADO SPRINGS,CO,93037,COLORADO SPRINGS,194804,202312,0,0,0,0,NA,5,10,5,1,0,0,0,20
03017DENVER,CO,03017,DENVER,199503,202312,0,0,0,0,1,9,19,14,5,0,0,0,47
23066GRAND JUNCTION,CO,23066,GRAND JUNCTION,190001,202312,0,0,0,0,1,14,24,18,4,0,0,0,60
93058PUEBLO,CO,93058,PUEBLO,195407,202312,0,0,0,NA,3,15,23,19,8,NA,0,0,68
94702BRIDGEPORT,CT,94702,BRIDGEPORT,194807,202312,0,0,0,NA,NA,1,4,2,NA,0,0,0,8
14740HARTFORD,CT,14740,HARTFORD,194901,202312,0,0,0,NA,1,4,8,5,1,NA,0,0,19
13781WILMINGTON,DE,13781,WILMINGTON,193105,202312,0,0,0,NA,1,4,9,6,2,NA,0,0,21
93738WASHINGTON DULLES,DC,93738,WASHINGTON DULLES,196112,202312,0,0,0,NA,1,6,12,9,3,NA,0,0,31
13743WASHINGTON NAT'L,DC,13743,WASHINGTON NAT'L,194107,202312,0,0,0,NA,2,7,14,10,3,NA,0,0,36
12834DAYTONA BEACH,FL,12834,DAYTONA BEACH,193701,202312,0,0,NA,1,6,12,18,16,7,1,NA,0,60
12835FORT MYERS,FL,12835,FORT MYERS,189201,202312,0,NA,1,3,13,19,22,23,17,5,NA,NA ,2
12816GAINESVILLE,FL,12816,GAINESVILLE,196006,202312,0,NA,NA,2,11,18,22,21,11,1,NA,0,87
13889JACKSONVILLE,FL,13889,JACKSONVILLE,193804,202312,0,0,NA,1,8,17,24,21,10,1,0,0,82
12836KEY WEST,FL,12836,KEY WEST,194801,202312,0,0,0,NA,1,7,16,17,8,1,0,0,50
12839MIAMI,FL,12839,MIAMI,194801,202312,0,0,NA,2,4,12,19,20,12,3,NA,NA,72
12815ORLANDO,FL,12815,ORLANDO,195206,202312,0,0,1,3,11,18,24,23,16,4,NA,NA   1,1
13899PENSACOLA,FL,13899,PENSACOLA,194807,202312,0,0,NA,NA,3,14,19,18,10,1,0,0,64
93805TALLAHASSEE,FL,93805,TALLAHASSEE,194003,202312,0,0,NA,1,10,19,23,22,14,2,0,0,92
12842TAMPA,FL,12842,TAMPA,193902,202312,0,0,NA,1,9,17,21,22,16,3,NA,0,89
12843VERO BEACH,FL,12843,VERO BEACH,194211,202312,0,NA,NA,1,4,11,17,19,8,2,NA,0,63
12844WEST PALM BEACH,FL,12844,WEST PALM BEACH,193807,202312,0,NA,1,2,4,12,20,22,12,2,NA,NA,76
13873ATHENS,GA,13873,ATHENS,194406,202312,0,0,0,NA,3,13,18,16,6,NA,0,0,56
13874ATLANTA,GA,13874,ATLANTA,193001,202312,0,0,0,NA,2,10,15,12,5,NA,0,0,44
03820AUGUSTA,GA,03820,AUGUSTA,194404,202312,0,0,NA,1,7,17,23,21,10,1,NA,0,80
93842COLUMBUS,GA,93842,COLUMBUS,194801,202312,0,0,0,NA,6,17,22,21,11,1,0,0,78
03813MACON,GA,03813,MACON,194812,202312,0,0,NA,1,8,18,24,22,11,1,0,0,86
03822SAVANNAH,GA,03822,SAVANNAH,194801,202312,0,0,NA,1,6,15,22,19,8,1,0,0,73
21504HILO,HI,21504,HILO,194910,202312,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
22521HONOLULU,HI,22521,HONOLULU,194006,202312,0,0,0,NA,NA,1,4,9,7,3,NA,0,25
22516KAHULUI,HI,22516,KAHULUI,195404,202312,NA,NA,NA,NA,1,3,4,7,8,5,1,NA,29
22536LIHUE,HI,22536,LIHUE,195002,202312,0,0,0,0,0,0,0,NA,NA,NA,0,0,0
24131BOISE,ID,24131,BOISE,194001,202312,0,0,0,NA,1,6,20,17,4,NA,0,0,49
24149LEWISTON,ID,24149,LEWISTON,194801,202312,0,0,0,NA,1,5,17,16,4,0,0,0,43
24156POCATELLO,ID,24156,POCATELLO,193901,202312,0,0,0,0,NA,4,16,13,2,NA,0,0,36
94846CHICAGO,IL,94846,CHICAGO,195811,202312,0,0,0,NA,1,4,6,4,2,NA,0,0,17
14923MOLINE,IL,14923,MOLINE,194306,202312,0,0,0,NA,1,6,8,6,2,NA,0,0,23
14842PEORIA,IL,14842,PEORIA,194305,202312,0,0,0,NA,NA,5,8,6,2,NA,0,0,23
94822ROCKFORD,IL,94822,ROCKFORD,195101,202312,0,0,0,NA,1,4,6,4,2,NA,0,0,16
93822SPRINGFIELD,IL,93822,SPRINGFIELD,190101,202312,0,0,NA,NA,2,7,12,8,4,NA,0,0,33
93817EVANSVILLE,IN,93817,EVANSVILLE,194801,202312,0,0,0,NA,2,9,15,11,5,NA,0,0,42
14827FORT WAYNE,IN,14827,FORT WAYNE,193908,202312,0,0,0,0,1,4,6,4,2,NA,0,0,16
93819INDIANAPOLIS,IN,93819,INDIANAPOLIS,194801,202312,0,0,0,0,NA,4,7,5,2,NA,0,0,19
14848SOUTH BEND,IN,14848,SOUTH BEND,189312,202312,0,0,0,NA,1,4,6,4,2,NA,0,0,17
14933DES MOINES,IA,14933,DES MOINES,194507,202312,0,0,NA,NA,1,5,9,7,2,NA,0,0,24
94908DUBUQUE,IA,94908,DUBUQUE,195102,202312,0,0,0,NA,NA,2,3,2,1,NA,0,0,8
14943SIOUX CITY,IA,14943,SIOUX CITY,194801,202312,0,0,NA,NA,2,6,10,7,3,NA,0,0,28
94910WATERLOO,IA,94910,WATERLOO,195003,202312,0,0,0,NA,1,4,6,4,2,NA,0,0,17
13984CONCORDIA,KS,13984,CONCORDIA,188505,202312,0,0,NA,NA,2,9,17,15,7,1,0,0,50
13985DODGE CITY,KS,13985,DODGE CITY,194801,202312,0,0,NA,1,4,14,21,19,9,1,NA,0,68
23065GOODLAND,KS,23065,GOODLAND,189507,202312,0,0,NA,NA,2,10,19,16,7,1,0,0,55
13996TOPEKA,KS,13996,TOPEKA,194608,202312,0,0,0,NA,2,9,16,14,6,1,0,0,48
03928WICHITA,KS,03928,WICHITA,195312,202312,0,0,0,NA,2,13,21,19,8,1,0,0,65
03889JACKSON,KY,03889,JACKSON,198101,202312,0,0,0,NA,NA,2,5,4,2,NA,0,0,14
93820LEXINGTON,KY,93820,LEXINGTON,187211,202312,0,0,0,NA,1,5,9,7,3,NA,0,0,24
93821LOUISVILLE,KY,93821,LOUISVILLE,194801,202312,0,0,0,NA,1,8,13,11,5,NA,0,0,38
03816PADUCAH,KY,03816,PADUCAH,194909,202312,0,0,0,NA,1,10,16,13,5,NA,0,0,46
13970BATON ROUGE,LA,13970,BATON ROUGE,193001,202312,0,0,NA,NA,6,20,24,23,14,2,0,0,90
03937LAKE CHARLES,LA,03937,LAKE CHARLES,196111,202312,0,0,NA,NA,3,16,23,24,14,2,0,0,81
12916NEW ORLEANS,LA,12916,NEW ORLEANS,194801,202312,0,0,0,NA,5,17,22,21,11,1,0,0,77
13957SHREVEPORT,LA,13957,SHREVEPORT,193907,202312,0,0,NA,NA,5,19,26,26,15,3,0,0,94
14607CARIBOU,ME,14607,CARIBOU,193902,202312,0,0,0,0,NA,NA,1,NA,NA,0,0,0,2
14764PORTLAND,ME,14764,PORTLAND,194012,202312,0,0,0,NA,NA,1,2,1,NA,0,0,0,5
93721BALTIMORE,MD,93721,BALTIMORE,193907,202312,0,0,0,NA,2,7,12,8,3,NA,0,0,32
14753BLUE HILL,MA,14753,BLUE HILL,199804,202312,0,0,0,NA,1,2,4,2,1,0,0,0,9
14739BOSTON,MA,14739,BOSTON,193601,202312,0,0,0,NA,1,3,6,4,1,NA,0,0,13
94746WORCESTER,MA,94746,WORCESTER,194806,202312,0,0,0,NA,NA,1,2,1,NA,0,0,0,3
94849ALPENA,MI,94849,ALPENA,191611,202312,0,0,0,NA,NA,2,3,2,1,NA,0,0,8
94847DETROIT,MI,94847,DETROIT,195812,202312,0,0,0,0,NA,3,5,3,1,NA,0,0,12
14826FLINT,MI,14826,FLINT,194805,202312,0,0,0,0,NA,2,4,2,1,0,0,0,9
94860GRAND RAPIDS,MI,94860,GRAND RAPIDS,196312,202312,0,0,0,0,NA,2,5,2,1,0,0,0,10
94814HOUGHTON LAKE,MI,94814,HOUGHTON LAKE,196407,202312,0,0,0,0,NA,1,2,1,NA,0,0,0,4
14836LANSING,MI,14836,LANSING,194801,202312,0,0,0,0,NA,2,4,2,1,0,0,0,10
14840MUSKEGON,MI,14840,MUSKEGON,189606,202312,0,0,0,0,NA,1,2,1,NA,0,0,0,3
14847SAULT STE. MARIE,MI,14847,SAULT STE. MARIE,193101,202312,0,0,0,0,NA,NA,1,NA,NA,0,0,0,2
14913DULUTH,MN,14913,DULUTH,194801,202312,0,0,0,0,NA,NA,1,1,NA,0,0,0,2
14918INTERNATIONAL FALLS,MN,14918,INTERNATIONAL FALLS,190607,202312,0,0,0,NA,NA,1,2,1,NA,0,0,0,4
14922MINNEAPOLIS-ST.PAUL,MN,14922,MINNEAPOLIS-ST.PAUL,193805,202312,0,0,0,NA,1,3,6,4,1,NA,0,0,15
14925ROCHESTER,MN,14925,ROCHESTER,189303,202312,0,0,0,NA,1,3,4,3,1,NA,0,0,11
14926SAINT CLOUD,MN,14926,SAINT CLOUD,193911,202312,0,0,0,NA,1,2,4,3,1,NA,0,0,10
03940JACKSON,MS,03940,JACKSON,196308,202312,0,0,0,NA,5,18,24,23,13,1,0,0,85
13865MERIDIAN,MS,13865,MERIDIAN,194406,202312,0,0,NA,NA,6,18,24,23,13,2,0,0,86
93862TUPELO,MS,93862,TUPELO,196212,202312,0,0,0,NA,3,15,22,20,10,1,0,0,72
03945COLUMBIA,MO,03945,COLUMBIA,196911,202312,0,0,0,NA,1,6,14,12,4,NA,0,0,37
03947KANSAS CITY,MO,03947,KANSAS CITY,197210,202312,0,0,0,NA,1,7,14,12,4,NA,0,0,38
13994ST. LOUIS,MO,13994,ST. LOUIS,193804,202312,0,0,0,NA,2,10,16,13,5,NA,0,0,46
13995SPRINGFIELD,MO,13995,SPRINGFIELD,194008,202312,0,0,0,NA,NA,7,16,14,4,NA,0,0,41
24033BILLINGS,MT,24033,BILLINGS,194801,202312,0,0,0,NA,NA,3,13,11,2,NA,0,0,31
94008GLASGOW,MT,94008,GLASGOW,194801,202312,0,0,0,NA,1,3,10,10,2,NA,0,0,26
24143GREAT FALLS,MT,24143,GREAT FALLS,193704,202312,0,0,0,0,NA,2,9,8,1,NA,0,0,20
94012HAVRE,MT,94012,HAVRE,196102,202312,0,0,0,NA,NA,3,11,10,2,NA,0,0,27
24144HELENA,MT,24144,HELENA,193804,202312,0,0,0,0,NA,2,10,8,1,0,0,0,21
24146KALISPELL,MT,24146,KALISPELL,189606,202312,0,0,0,0,NA,1,5,4,NA,0,0,0,11
24153MISSOULA,MT,24153,MISSOULA,194801,202312,0,0,0,0,NA,2,11,9,1,0,0,0,24
14935GRAND ISLAND,NE,14935,GRAND ISLAND,193804,202312,0,0,NA,NA,2,8,14,11,5,NA,0,0,41
14939LINCOLN,NE,14939,LINCOLN,194801,202312,0,0,NA,NA,2,9,15,11,5,NA,0,0,43
14941NORFOLK,NE,14941,NORFOLK,194510,202312,0,0,NA,1,1,7,11,8,4,NA,0,0,32
24023NORTH PLATTE,NE,24023,NORTH PLATTE,194801,202312,0,0,NA,NA,1,7,14,12,5,NA,0,0,39
14942OMAHA,NE,14942,OMAHA,194801,202312,0,0,NA,NA,2,8,13,9,4,NA,0,0,35
24028SCOTTSBLUFF,NE,24028,SCOTTSBLUFF,189301,202312,0,0,0,NA,1,8,17,14,5,NA,0,0,46
24032VALENTINE,NE,24032,VALENTINE,194801,202312,0,0,0,NA,1,7,15,13,5,NA,0,0,41
24121ELKO,NV,24121,ELKO,189001,202312,0,0,0,0,NA,6,21,17,3,NA,0,0,47
23154ELY,NV,23154,ELY,189301,202312,0,0,0,0,NA,3,12,6,1,0,0,0,22
23169LAS VEGAS,NV,23169,LAS VEGAS,194810,202312,0,0,NA,4,15,26,31,30,23,6,0,0   1,36
23185RENO,NV,23185,RENO,193703,202312,0,0,0,NA,1,8,22,19,6,NA,0,0,56
24128WINNEMUCCA,NV,24128,WINNEMUCCA,187707,202312,0,0,0,NA,1,7,21,18,5,NA,0,0,51
14745CONCORD,NH,14745,CONCORD,193904,202312,0,0,0,NA,1,3,5,3,1,NA,0,0,13
14755MT. WASHINGTON,NH,14755,MT. WASHINGTON,194802,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
93730ATLANTIC CITY,NJ,93730,ATLANTIC CITY,195807,202312,0,0,0,NA,1,4,8,5,1,NA,0,0,20
14734NEWARK,NJ,14734,NEWARK,189301,202312,0,0,0,NA,1,5,9,6,2,NA,0,0,23
23050ALBUQUERQUE,NM,23050,ALBUQUERQUE,193103,202312,0,0,0,0,2,18,23,17,4,NA,0,0,64
23051CLAYTON,NM,23051,CLAYTON,189602,202312,0,0,0,NA,1,10,15,11,4,NA,0,0,41
23009ROSWELL,NM,23009,ROSWELL,194901,202312,0,NA,NA,2,12,23,26,23,12,2,0,0   1,1
14735ALBANY,NY,14735,ALBANY,193806,202312,0,0,0,NA,NA,2,5,3,1,NA,0,0,11
04725BINGHAMTON,NY,04725,BINGHAMTON,195106,202312,0,0,0,0,0,NA,1,1,NA,0,0,0,2
14733BUFFALO,NY,14733,BUFFALO,193805,202312,0,0,0,NA,NA,1,2,1,NA,0,0,0,4
04781ISLIP,NY,04781,ISLIP,196310,202312,0,0,0,NA,NA,1,3,2,NA,0,0,0,7
94728NEW YORK Central Park,NY,94728,NEW YORK Central Park,186901,202312,0,0,0,NA,1,3,6,4,1,NA,0,0,15
94789NEW YORK JFK AP,NY,94789,NEW YORK JFK AP,194808,202312,0,0,0,NA,NA,2,4,3,1,NA,0,0,10
14732NEW YORK Laguardia AP,NY,14732,NEW YORK Laguardia AP,193911,202312,0,0,0,NA,1,4,7,5,1,NA,0,0,18
14768ROCHESTER,NY,14768,ROCHESTER,192601,202312,0,0,0,NA,NA,2,4,2,1,NA,0,0,10
14771SYRACUSE,NY,14771,SYRACUSE,193805,202312,0,0,0,NA,NA,2,4,2,1,0,0,0,10
03812ASHEVILLE,NC,03812,ASHEVILLE,194601,202312,0,0,0,0,NA,2,5,3,1,NA,0,0,11
93729CAPE HATTERAS,NC,93729,CAPE HATTERAS,195703,202312,0,0,0,0,NA,1,3,2,NA,NA,0,0,6
13881CHARLOTTE,NC,13881,CHARLOTTE,193907,202312,0,0,NA,NA,2,10,16,13,5,NA,0,0,47
13723GREENSBORO-WNSTN-SALM-HGHPT,NC,13723,GREENSBORO-WNSTN-SALM-HGHPT,192811,202312,0,0,NA,NA,2,7,12,9,3,NA,0,0,34
13722RALEIGH,NC,13722,RALEIGH,194406,202312,0,0,NA,NA,2,10,15,12,4,NA,0,0,45
13748WILMINGTON,NC,13748,WILMINGTON,194801,202312,0,0,0,1,3,9,16,13,4,NA,0,0,46
24011BISMARCK,ND,24011,BISMARCK,194801,202312,0,0,0,NA,1,3,8,8,2,NA,0,0,22
14914FARGO,ND,14914,FARGO,189106,202312,0,0,0,NA,1,2,5,4,1,NA,0,0,14
14916GRAND FORKS,ND,14916,GRAND FORKS,194104,202312,0,0,0,NA,1,2,4,4,1,NA,0,0,12
94014WILLISTON,ND,94014,WILLISTON,189401,201909,0,0,0,NA,1,2,8,7,2,NA,0,0,20
14895AKRON,OH,14895,AKRON,194807,202312,0,0,0,0,NA,2,4,2,1,NA,0,0,9
93814CINCINNATI,OH,93814,CINCINNATI,194801,202312,0,0,0,0,1,4,8,7,3,NA,0,0,23
14820CLEVELAND,OH,14820,CLEVELAND,193805,202312,0,0,0,0,NA,3,5,3,1,NA,0,0,13
14821COLUMBUS,OH,14821,COLUMBUS,194801,202312,0,0,0,0,1,5,7,5,2,NA,0,0,19
93815DAYTON,OH,93815,DAYTON,194801,202312,0,0,0,0,NA,4,6,4,2,NA,0,0,16
14891MANSFIELD,OH,14891,MANSFIELD,194812,202312,0,0,0,0,NA,1,3,2,1,NA,0,0,7
94830TOLEDO,OH,94830,TOLEDO,195501,202312,0,0,0,0,1,4,6,4,1,NA,0,0,17
14852YOUNGSTOWN,OH,14852,YOUNGSTOWN,193408,202312,0,0,0,NA,NA,2,4,2,1,0,0,0,9
13967OKLAHOMA CITY,OK,13967,OKLAHOMA CITY,194801,202312,0,NA,NA,1,3,13,23,22,9,1,0,0,72
13968TULSA,OK,13968,TULSA,193812,202312,0,NA,NA,1,2,14,24,22,10,1,0,0,74
94224ASTORIA,OR,94224,ASTORIA,195302,202312,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1
94185BURNS,OR,94185,BURNS,197503,202312,0,0,0,0,NA,2,14,11,2,NA,0,0,29
24221EUGENE,OR,24221,EUGENE,193806,202312,0,0,0,0,NA,2,7,6,2,NA,0,0,17
24225MEDFORD,OR,24225,MEDFORD,192801,202312,0,0,0,NA,2,7,18,18,9,1,0,0,55
24155PENDLETON,OR,24155,PENDLETON,192801,202312,0,0,0,NA,1,5,15,12,3,NA,0,0,37
24229PORTLAND,OR,24229,PORTLAND,193804,202312,0,0,0,NA,NA,2,4,5,2,NA,0,0,13
24232SALEM,OR,24232,SALEM,189301,202312,0,0,0,NA,NA,2,6,6,2,NA,0,0,16
24235SEXTON SUMMIT,OR,24235,SEXTON SUMMIT,194801,202311,0,0,0,0,NA,NA,1,1,NA,0,0,0,3
14737ALLENTOWN,PA,14737,ALLENTOWN,194801,202312,0,0,0,NA,1,3,7,4,1,NA,0,0,17
14860ERIE,PA,14860,ERIE,192601,202312,0,0,0,0,NA,1,2,1,NA,0,0,0,4
14711MIDDLETOWN/HARRISBURG,PA,14711,MIDDLETOWN/HARRISBURG,194101,202312,0,0,0,NA,1,5,9,6,2,NA,0,0,23
13739PHILADELPHIA,PA,13739,PHILADELPHIA,194007,202312,0,0,0,NA,1,5,11,7,2,NA,0,0,26
94823PITTSBURGH,PA,94823,PITTSBURGH,194801,202312,0,0,0,0,NA,2,4,2,1,0,0,0,9
14777AVOCA,PA,14777,AVOCA,194901,202312,0,0,0,NA,NA,2,4,2,1,0,0,0,10
14778WILLIAMSPORT,PA,14778,WILLIAMSPORT,194805,202312,0,0,0,NA,1,3,7,3,1,NA,0,0,15
14765PROVIDENCE,RI,14765,PROVIDENCE,194801,202312,0,0,0,NA,1,2,4,3,1,0,0,0,10
13782CHARLESTON,SC,13782,CHARLESTON,189301,202312,0,0,NA,NA,2,6,10,9,3,NA,0,0,30
13883COLUMBIA,SC,13883,COLUMBIA,194801,202312,0,0,NA,1,7,17,23,20,9,1,NA,0,79
03870GREENVILLE-SPARTANBURG,SC,03870,GREENVILLE-SPARTANBURG,196211,202312,0,0,0,NA,2,9,16,11,4,NA,0,0,42
14929ABERDEEN,SD,14929,ABERDEEN,189301,202312,0,0,0,NA,1,4,10,8,3,NA,0,0,26
14936HURON,SD,14936,HURON,188107,202312,0,0,0,NA,1,4,10,8,3,NA,0,0,27
24090RAPID CITY,SD,24090,RAPID CITY,194805,202312,0,0,0,NA,1,4,12,12,4,NA,0,0,32
14944SIOUX FALLS,SD,14944,SIOUX FALLS,193201,202312,0,0,0,NA,1,4,9,6,2,NA,0,0,23
13877BRISTOL-JHNSN CTY-KNGSPRT,TN,13877,BRISTOL-JHNSN CTY-KNGSPRT,193710,202312,0,0,0,NA,NA,4,7,6,2,NA,0,0,20
13882CHATTANOOGA,TN,13882,CHATTANOOGA,193804,202312,0,0,0,NA,3,11,17,16,6,NA,0,0,53
13891KNOXVILLE,TN,13891,KNOXVILLE,191002,202312,0,0,0,NA,1,8,13,10,5,NA,0,0,37
13893MEMPHIS,TN,13893,MEMPHIS,194001,202312,0,0,0,NA,3,15,22,19,9,1,0,0,69
13897NASHVILLE,TN,13897,NASHVILLE,194801,202312,0,0,0,NA,2,11,18,15,6,NA,0,0,53
03841OAK RIDGE,TN,03841,OAK RIDGE,194808,202312,0,0,0,NA,1,7,12,10,4,NA,0,0,35
13962ABILENE,TX,13962,ABILENE,194801,202312,0,NA,1,3,9,20,27,26,14,3,NA,NA,3
23047AMARILLO,TX,23047,AMARILLO,194707,202312,0,0,NA,1,5,15,22,18,8,1,0,0,70
13958AUSTIN,TX,13958,AUSTIN,193806,202312,NA,NA,1,2,9,23,29,29,19,5,NA,NA,16
12919BROWNSVILLE,TX,12919,BROWNSVILLE,189812,202312,NA,NA,1,4,12,24,28,29,20,8,1,NA,27
12924CORPUS CHRISTI,TX,12924,CORPUS CHRISTI,194801,202312,NA,NA,1,2,7,22,28,28,19,6,1,NA,14
13960DALLAS,TX,13960,DALLAS,193908,202312,0,NA,NA,1,7,21,28,27,16,3,NA,0   1,4
22010DEL RIO,TX,22010,DEL RIO,195105,202312,NA,1,3,8,16,26,29,29,21,6,NA,NA,NA
23044EL PASO,TX,23044,EL PASO,193804,202312,0,0,NA,2,14,26,27,24,14,2,0,0   1,9
12923GALVESTON,TX,12923,GALVESTON,194608,202312,0,0,0,NA,1,8,19,21,9,NA,0,0,58
12960HOUSTON,TX,12960,HOUSTON,196906,202312,0,NA,NA,1,8,22,27,27,17,4,0,0   1,6
23042LUBBOCK,TX,23042,LUBBOCK,194701,202312,0,NA,NA,2,9,19,23,21,9,2,NA,0,85
23023MIDLAND-ODESSA,TX,23023,MIDLAND-ODESSA,193006,202312,0,NA,1,4,13,22,26,25,13,3,NA,0   1,7
12917PORT ARTHUR,TX,12917,PORT ARTHUR,194710,202312,0,0,0,NA,3,19,25,25,14,2,0,0,88
23034SAN ANGELO,TX,23034,SAN ANGELO,190708,202312,NA,NA,1,5,13,23,27,27,16,4,NA,NA,15
12921SAN ANTONIO,TX,12921,SAN ANTONIO,194609,202312,0,NA,1,3,10,23,28,28,19,5,NA,NA,17
12912VICTORIA,TX,12912,VICTORIA,195303,202312,0,NA,NA,1,8,22,28,28,19,6,NA,0   1,13
13959WACO,TX,13959,WACO,194101,202312,NA,NA,NA,1,8,23,29,28,18,4,NA,NA,12
13966WICHITA FALLS,TX,13966,WICHITA FALLS,190701,202312,0,NA,1,2,9,21,28,27,16,4,NA,NA,8
24127SALT LAKE CITY,UT,24127,SALT LAKE CITY,194801,202312,0,0,0,0,1,10,24,20,5,0,0,0,59
14742BURLINGTON,VT,14742,BURLINGTON,194012,202312,0,0,0,NA,NA,2,3,2,NA,0,0,0,8
13733LYNCHBURG,VA,13733,LYNCHBURG,194408,202312,0,0,0,NA,1,5,10,8,3,NA,0,0,26
